dat,lat,lon,crs,spd,alt,d_dat,d_alt,roc
2018-07-07 00:02:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:03:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:04:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:05:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,41.0,0.0,0.0
2018-07-07 00:06:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:07:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,42.0,0.0,0.0
2018-07-07 00:08:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,39.0,0.0,0.0
2018-07-07 00:09:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:10:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:11:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,39.0,0.0,0.0
2018-07-07 00:12:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.5,0.0,0.0
2018-07-07 00:13:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:14:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:15:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,39.0,0.0,0.0
2018-07-07 00:16:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.5,0.0,0.0
2018-07-07 00:17:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,39.0,0.0,0.0
2018-07-07 00:18:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:19:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,41.0,0.0,0.0
2018-07-07 00:20:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,39.5,0.0,0.0
2018-07-07 00:21:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,41.0,0.0,0.0
2018-07-07 00:22:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:23:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:24:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:25:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:26:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,40.0,0.0,0.0
2018-07-07 00:27:00+00:00,32.82567,-96.81267,0.0,0.0,488.0,39.0,0.0,0.0
2018-07-07 00:28:00+00:00,32.82567,-96.81267,0.0,0.0,485.0,40.0,-1.5,-0.036585365853658534
2018-07-07 00:29:00+00:00,32.8255,-96.81267,18.0,0.0,495.0,30.0,5.0,0.23809523809523808
2018-07-07 00:30:00+00:00,32.8255,-96.81267,18.0,0.0,495.0,40.0,0.0,0.0
2018-07-07 00:31:00+00:00,32.8255,-96.81267,18.0,0.0,495.0,40.5,0.0,0.0
2018-07-07 00:32:00+00:00,32.8255,-96.81267,18.0,0.0,495.0,40.0,0.0,0.0
2018-07-07 00:33:00+00:00,32.8255,-96.81267,18.0,0.0,495.0,40.0,0.0,0.0
2018-07-07 00:34:00+00:00,32.8255,-96.81267,9.0,0.5,494.5,29.5,-0.5,-0.025
2018-07-07 00:35:00+00:00,32.8255,-96.81267,0.0,1.0,494.0,41.0,0.0,0.0
2018-07-07 00:36:00+00:00,32.8255,-96.81267,0.0,1.0,494.0,40.0,0.0,0.0
2018-07-07 00:37:00+00:00,32.8255,-96.81267,0.0,0.5,494.0,30.0,0.0,0.0
2018-07-07 00:38:00+00:00,32.8255,-96.8125,0.0,1.0,493.0,31.5,-0.5,-0.02631578947368421
2018-07-07 00:39:00+00:00,,,,,,,,
2018-07-07 00:40:00+00:00,32.82561333333334,-96.81255666666668,0.0,0.0,477.6666666666667,39.0,-3.3333333333333335,-0.16666666666666666
2018-07-07 00:41:00+00:00,32.82567,-96.8125,0.0,0.0,483.0,40.0,0.0,0.0
2018-07-07 00:42:00+00:00,32.82567,-96.8125,0.0,0.0,484.0,30.0,1.0,0.05
2018-07-07 00:43:00+00:00,32.82567,-96.8125,0.0,0.0,485.0,40.0,0.0,0.0
2018-07-07 00:44:00+00:00,32.825585000000004,-96.81266500000001,0.0,0.0,486.5,30.0,1.0,0.037500000000000006
2018-07-07 00:45:00+00:00,32.82567,-96.8125,0.0,0.0,486.0,30.0,-0.5,-0.025
2018-07-07 00:46:00+00:00,32.825585000000004,-96.81275,0.0,0.0,487.5,20.0,0.5,0.025
2018-07-07 00:47:00+00:00,32.825585000000004,-96.81266500000001,0.0,0.0,486.5,30.0,-0.5,-0.041666666666666664
2018-07-07 00:48:00+00:00,32.82567,-96.81275,0.0,0.0,487.5,30.5,1.0,0.036309523809523805
2018-07-07 00:49:00+00:00,32.82567,-96.81267,225.0,0.5,495.0,39.5,3.5,0.08974358974358974
2018-07-07 00:50:00+00:00,32.825585000000004,-96.812,119.5,8.0,492.5,30.0,-1.0,-0.012499999999999997
2018-07-07 00:51:00+00:00,32.82516666666667,-96.80761000000001,100.33333333333333,18.333333333333332,500.0,20.0,-1.3333333333333333,-0.0666666666666667
2018-07-07 00:52:00+00:00,32.823056666666666,-96.80261,135.0,20.0,497.6666666666667,20.0,1.6666666666666667,0.08333333333333333
2018-07-07 00:53:00+00:00,32.82055333333333,-96.80222333333332,106.66666666666667,5.333333333333333,493.6666666666667,20.0,-0.3333333333333333,-0.016666666666666666
2018-07-07 00:54:00+00:00,32.82094333333333,-96.80216999999999,230.66666666666666,0.3333333333333333,495.3333333333333,20.0,1.0,0.05000000000000001
2018-07-07 00:55:00+00:00,32.821443333333335,-96.80222333333332,7.666666666666667,1.0,472.0,20.0,-19.0,-0.9500000000000001
2018-07-07 00:56:00+00:00,32.82127666666667,-96.80222333333332,0.0,0.0,451.6666666666667,20.0,4.333333333333333,0.21666666666666665
